UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/03/15T01:25:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,46,15,1002.83,0.05,36504,0,969,4.63,9.19,11.12,4.63,9.19,11.12,38,38,819.36,237.37,55.54,5.86,1.8,0.85,5.11,9.59,12.95,5.11,9.59,12.95,40,40,823.39,246.52,61.55,9.25,3.57,2.04,
2023/03/15T01:27:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,46,15,1002.78,0.05,36504,0,1089,4.23,6.71,9.43,4.23,6.71,9.43,28,28,781.12,214.59,36.57,6.11,1.86,0.86,5.11,8.7,10.79,5.11,8.7,10.79,36,36,857.79,246.23,49.74,6.95,2.39,0.81,
2023/03/15T01:29:21z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,45,15,1002.78,0.05,36504,0,1209,4.17,6.76,8.7,4.17,6.76,8.7,28,28,759.17,211.89,41.22,4.11,1.44,0.33,5.16,8.72,10.67,5.16,8.72,10.67,36,36,849.72,249.24,48.55,5.21,2.14,1.17,
2023/03/15T01:31:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,45,14,1002.86,nan,36656,0,130,4.37,7.95,9.83,4.37,7.95,9.83,33,33,733.83,211.49,47.41,6.93,0.73,0,4.97,8.32,10.07,4.97,8.32,10.07,35,35,855.45,242.75,45.53,6.8,1.95,0.55,
2023/03/15T01:33:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,45,15,1002.83,0.05,36568,0,250,4.6,7.98,9.67,4.6,7.98,9.67,33,33,755.18,217.51,39.55,6.44,0.95,0.76,4.63,7.88,9.05,4.63,7.88,9.05,33,33,813.15,231.95,42.58,5.46,1.42,0.37,
2023/03/15T01:35:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.91,0.05,36568,0,370,4.18,6.95,9.07,4.18,6.95,9.07,29,29,746,208.68,42.07,5.58,1.89,0.88,4.88,10.48,12.27,4.88,10.48,12.27,44,44,882.91,259.18,60.48,6.52,2.25,0.54,
2023/03/15T01:37:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.88,0.05,36504,0,490,4.96,8.05,9.26,4.96,8.05,9.26,34,34,871.21,241.89,41.89,4.67,0.95,0.39,5.32,9.42,11.42,5.32,9.42,11.42,39,39,876.63,259.95,54.18,7.12,2.39,1.3,
2023/03/15T01:39:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,34,46,15,1002.93,0.05,36504,0,610,5.35,9.6,12.44,5.35,9.6,12.44,40,40,900.27,258.44,53.85,6.58,3.16,0.98,5.29,11.48,12.18,5.29,11.48,12.18,48,48,869.89,259.29,66.86,8.38,0.82,0.82,
2023/03/15T01:41:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.93,0.05,36504,0,730,4.2,7.64,8.29,4.2,7.64,8.29,32,32,741.64,207.98,43.48,5.57,0.5,0,5,8.68,11.19,5,8.68,11.19,36,36,836.59,245.95,47.83,8.31,3.02,0.78,
2023/03/15T01:43:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.88,0.05,36504,0,850,4.34,7.79,8.26,4.34,7.79,8.26,32,32,779.64,220.41,39.26,2.93,0.41,0,4.49,8.61,10.32,4.49,8.61,10.32,36,36,818.47,237.26,46.68,6,1.61,0.84,
